C8:RET:Z:1
C9:RET::1
CA:JP:Z,%:3
CB:???::
CC:CALL:Z,%:3
CD:CALL:%:3
CE:ADC:A,!:2
CF:RST:08H:1
D0:RET:NC:1
D1:POP:DE:1
D2:JP:NC,%:3
D3:OUT:!,A:2
D4:CALL:NC,%:3
D5:PUSH:DE:1
D6:SUB:!:2
D7:RST:10H:1
D8:RET:C:1
D9:EXX::1
DA:JP:C,%:3
DB:IN:A,!:2
DC:CALL:C,%:3
DD:???::
DE:SBC:A,!:2
DF:RST:18H:1
E0:RET:PO:1
E1:POP:HL:1
E2:JP:PO,%:3
E3:EX:(SP),HL:1
E4:CALL:PO,%:3
E5:PUSH:HL:1
E6:AND:!:2
E7:RST:20H:1
E8:RET:PE:1
E9:JP:(HL):1
EA:JP:PE,%:3
EB:EX:DE,HL:1
EC:CALL:PE,%:3
ED:???::
EE:XOR:!:2
EF:RST:28H:1
F0:RET:P:1
F1:POP:AF:1
F2:JP:P,%:3
F3:DI::1
F4:CALL:P,%:3
F5:PUSH:AF:1
F6:OR:!:2
F7:RST:30H:1
F8:RET:M:1
F9:LD:SP,HL:1
FA:JP:M,%:3
FB:EI::1
FC:CALL:M,%:3
FD:???::
FE:CP:!:2
FF:RST:38H:1
CB00:RLC:B:2
CB01:RLC:C:2
CB02:RLC:D:2
CB03:RLC:E:2
CB04:RLC:H:2
CB05:RLC:L:2
CB06:RLC:(HL):2
CB07:RLC:A:2
CB08:RRC:B:2
CB09:RRC:C:2
CB0A:RRC:D:2
CB0B:RRC:E:2
CB0C:RRC:H:2
CB0D:RRC:L:2
CB0E:RRC:(HL):2
CB0F:RRC:A:2
CB10:RL:B:2
CB11:RL:C:2
CB12:RL:D:2
CB13:RL:E:2
CB14:RL:H:2
CB15:RL:L:2
CB16:RL:(HL):2
CB17:RL:A:2
CB18:RR:B:2
CB19:RR:C:2
CB1A:RR:D:2
CB1B:RR:E:2
CB1C:RR:H:2
CB1D:RR:L:2
CB1E:RR:(HL):2
CB1F:RR:A:2
CB20:SLA:B:2
CB21:SLA:C:2
CB22:SLA:D:2
CB23:SLA:E:2
CB24:SLA:H:2
CB25:SLA:L:2
CB26:SLA:(HL):2
CB27:SLA:A:2
CB28:SRA:B:2
CB29:SRA:C:2
CB2A:SRA:D:2
CB2B:SRA:E:2
CB2C:SRA:H:2
CB2D:SRA:L:2
CB2E:SRA:(HL):2
CB2F:SRA:A:2
CB30:???::2
CB31:???::2
CB32:???::2
CB33:???::2
CB34:???::2
CB35:???::2
CB36:???::2
CB37:???::2
CB38:SRL:B:2
CB39:SRL:C:2
CB3A:SRL:D:2
